Agreement_Num_Region-Co-Dist-Type Code,Sit_Num,Site Name,Site Address,Site City,Site Zip,Site Count,Free Eligibles,Reduced Eligibles,Enrollment,Participates in CEP,CEP Num identified students,Cep Enrollment,PC of Free And Reduced-Priced Eligibility,PC of Free Eligibility,RCDTS
15-016-2990-25,12159,Murray Elem Language Academy,5335 S Kenwood Ave,Chicago,60615-5393,Cook,522,0,522,X,226,513,0.704873294,0.440545809,1.50163E+14
15-016-2990-AT,52752,Namaste Charter School Inc,3737 S Paulina St,Chicago,60609-2047,Cook,307,73,485,,0,0,0.783505155,0,15016299025218C
15-016-2990-25,12161,Nash Elem School,4837 W Erie St,Chicago,60644-1720,Cook,341,0,341,X,297,352,1,0.84375,1.50163E+14
15-016-2990-25,48872,National Teachers Elem Academy,55 W Cermak Rd,Chicago,60616-2001,Cook,709,0,709,X,453,617,1,0.734197731,1.50163E+14
15-016-2990-25,12162,Neil Elem School,8555 S Michigan Ave,Chicago,60619-5687,Cook,286,0,286,X,240,318,1,0.754716981,1.50163E+14
15-016-2990-25,12163,Nettelhorst Elem School,3252 N Broadway St,Chicago,60657-3521,Cook,824,0,824,X,195,827,0.377267231,0.235792019,1.50163E+14
15-016-2990-25,50836,New Field Elem School,1707 W Morse Ave,Chicago,60626-3203,Cook,685,0,685,X,458,605,1,0.757024793,1.50163E+14
15-016-2990-25,12164,Newberry Elem Math & Science Acad,700 W Willow St,Chicago,60614-5108,Cook,576,0,576,X,278,566,0.785865724,0.491166078,1.50163E+14
15-016-2990-25,11931,Nicholson Technology Acad Elem Sch,6006 S Peoria St,Chicago,60621-2114,Cook,522,0,522,X,492,573,1,0.858638744,1.50163E+14
15-016-2990-25,12166,Nightingale Elem School,5250 S Rockwell St,Chicago,60632-1540,Cook,1283,0,1283,X,1095,1315,1,0.83269962,1.50163E+14
15-016-2990-25,12361,Ninos Heroes Elem Academic Ctr,8344 S Commercial Ave,Chicago,60617-2145,Cook,374,0,374,X,317,379,1,0.83641161,1.50163E+14
15-016-2990-25,12167,Nixon Elem School,2121 N Keeler Ave,Chicago,60639-3603,Cook,890,0,890,X,810,980,1,0.826530612,1.50163E+14
15-016-2990-25,62771,Nkrumah Academy Elem School,901 E 95th St,Chicago,60619-7826,Cook,214,0,214,X,207,302,1,0.685430464,15016299025231C
15-016-2990-25,12168,Nobel Elem School,4127 W Hirsch St,Chicago,60651-1806,Cook,883,0,883,X,725,845,1,0.857988166,1.50163E+14
15-016-2990-AF,57319,Noble St Chtr Rauner College Prep,1337 W Ohio St,Chicago,60642-6430,Cook,425,105,639,,0,0,0.82942097,0,15016299025029C
15-016-2990-AF,62856,Noble St Chtr-Chicago Bulls Prep,2040 W Adams St,Chicago,60612-3052,Cook,871,143,1147,,0,0,0.884045336,0,15016299025034C
15-016-2990-AF,60923,Noble St Chtr-Comer College Prep,7131 S South Chicago Ave,Chicago,60619-1254,Cook,842,136,1146,,0,0,0.853403141,0,15016299025032C
15-016-2990-AF,68188,Noble St Chtr-DRW Trading College Prep,931 S Homan Ave,Chicago,60624-4108,Cook,477,44,549,,0,0,0.948998179,0,15016299025038C
15-016-2990-AF,59045,Noble St Chtr-Golder College Prep,1454 W Superior St,Chicago,60642-5255,Cook,516,83,656,,0,0,0.913109756,0,15016299025031C
15-016-2990-AF,68187,Noble St Chtr-Hansberry College Prep - Silver,8748 S Aberdeen St,Chicago,60620-3438,Cook,538,76,709,,0,0,0.866008463,0,15016299025037C
15-016-2990-AF,72004,Noble St Chtr-ITW Speer Acad,2456 N Mango Ave,Chicago,60639-2313,Cook,618,108,819,,0,0,0.886446886,0,15016299025042C
15-016-2990-AF,64839,Noble St Chtr-Johnson College Prep,6350 S Stewart Ave,Chicago,60621-3138,Cook,777,50,863,,0,0,0.958285052,0,15016299025036C
15-016-2990-AF,62857,Noble St Chtr-Muchin College Prep,1 N State St,Chicago,60602-3302,Cook,635,168,944,,0,0,0.850635593,0,15016299025035C
15-016-2990-AF,57320,Noble St Chtr-Pritzker College Prep,4131 W Cortland St,Chicago,60639-4923,Cook,902,55,1009,,0,0,0.948463826,0,15016299025028C
15-016-2990-AF,59044,Noble St Chtr-Rowe-Clark MS Acad,3645 W Chicago Ave,Chicago,60651-3934,Cook,487,25,547,,0,0,0.936014625,0,15016299025030C
