RCDTS,School Name,City,SAT Reading Total Students Level 1 PC,SAT Reading Total Students Level 2 PC,SAT Reading Total Students Level 3 PC,SAT Reading Total Students Level 4 PC,SAT Math Total Students Level 1 PC,SAT Math Total Students Level 2 PC,SAT Math Total Students Level 3 PC,SAT Math Total Students Level 4 PC,SAT Reading Total Low Income Students Level 1 PC,SAT Reading Total Low Income Students Level 2 PC,SAT Reading Total Low Income Students Level 3 PC,SAT Reading Total Low Income Students Level 4 PC,SAT Math Total Low Income Students Level 1 PC,SAT Math Total Low Income Students Level 2 PC,SAT Math Total Low Income Students Level 3 PC,SAT Math Total Low Income Students Level 4 PC,Total Students SAT Math Participation PC,Low Income Students SAT Math Participation PC,Total Students SAT ELA Participation PC,Low Income Students SAT ELA Participation PC
3.00E+13,Pocahontas Center,Pocahontas,,,,,,,,,,,,,,,,,,,,
3.00E+13,Sorento Elem School,Sorento,,,,,,,,,,,,,,,,,,,,
3.01E+13,,Morrisonville,4.8,71.4,4.8,19,28.6,47.6,23.8,0,,,,,,,,,100,,100,
3.01E+13,Morrisonville High School,Morrisonville,4.8,71.4,4.8,19,28.6,47.6,23.8,0,,,,,,,,,100,,100,
3.01E+13,Morrisonville Jr High School,Morrisonville,,,,,,,,,,,,,,,,,,,,
3.01E+13,Morrisonville Elem School,Morrisonville,,,,,,,,,,,,,,,,,,,,
3.01E+13,,Taylorville,19.7,44.5,28.9,6.9,26.6,39.9,30.1,3.5,34.7,40.3,20.8,2.8,37.5,44.4,15.3,1.4,97.2,93.4,97.2,93.4
3.01E+13,Taylorville Sr High School,Taylorville,17.5,45.2,30.1,7.2,24.1,41,31.3,3.6,31.3,42.2,23.4,3.1,32.8,48.4,17.2,1.6,99.4,98.5,99.4,98.5
3.01E+13,Taylorville Jr High School,Taylorville,,,,,,,,,,,,,,,,,,,,
3.01E+13,Memorial Elem School,Taylorville,,,,,,,,,,,,,,,,,,,,
3.01E+13,North Elem School,Taylorville,,,,,,,,,,,,,,,,,,,,
3.01E+13,Stonington Elem School,Stonington,,,,,,,,,,,,,,,,,,,,
3.01E+13,,Edinburg,25,58.3,16.7,0,33.3,62.5,4.2,0,25,66.7,8.3,0,41.7,58.3,0,0,100,100,100,100
3.01E+13,Edinburg High School,Edinburg,25,58.3,16.7,0,33.3,62.5,4.2,0,25,66.7,8.3,0,41.7,58.3,0,0,100,100,100,100
3.01E+13,Edinburg Jr High School,Edinburg,,,,,,,,,,,,,,,,,,,,
3.01E+13,Edinburg Elem School,Edinburg,,,,,,,,,,,,,,,,,,,,
3.01E+13,,Pana,24,49,23.1,3.8,39.4,44.2,14.4,1.9,30.8,48.1,21.2,0,48.1,42.3,9.6,0,99,98.1,99,98.1
3.01E+13,Pana Sr High School,Pana,24,49,23.1,3.8,39.4,44.2,14.4,1.9,30.8,48.1,21.2,0,48.1,42.3,9.6,0,99,98.1,99,98.1
3.01E+13,Pana Jr High School,Pana,,,,,,,,,,,,,,,,,,,,
3.01E+13,Lincoln Elem School,Pana,,,,,,,,,,,,,,,,,,,,
3.01E+13,Washington Elem School,Pana,,,,,,,,,,,,,,,,,,,,
3.01E+13,,Kincaid,57.1,28.6,7.1,7.1,57.1,35.7,7.1,0,,,,,,,,,100,,100,
3.01E+13,South Fork Jr Sr High School,Kincaid,57.1,28.6,7.1,7.1,57.1,35.7,7.1,0,,,,,,,,,100,,100,
3.01E+13,South Fork Elementary School,Kincaid,,,,,,,,,,,,,,,,,,,,
3.03E+13,,Altamont,23.4,43.8,26.6,6.3,21.9,40.6,34.4,3.1,47.1,35.3,17.6,0,47.1,29.4,17.6,5.9,100,100,100,100
3.03E+13,Altamont High School,Altamont,23.4,43.8,26.6,6.3,21.9,40.6,34.4,3.1,47.1,35.3,17.6,0,47.1,29.4,17.6,5.9,100,100,100,100
3.03E+13,Altamont Grade School,Altamont,,,,,,,,,,,,,,,,,,,,
3.03E+13,,Beecher City,18.8,25,37.5,18.8,25,37.5,18.8,18.8,,,,,,,,,100,,100,
3.03E+13,Beecher City Jr-Sr High School,Beecher City,18.8,25,37.5,18.8,25,37.5,18.8,18.8,,,,,,,,,100,,100,
3.03E+13,Beecher City Grade School,Beecher City,,,,,,,,,,,,,,,,,,,,
3.03E+13,,Dieterich,40,23.3,30,6.7,36.7,20,43.3,0,,,,,,,,,100,,100,
3.03E+13,Dieterich Jr/Sr High School,Dieterich,40,23.3,30,6.7,36.7,20,43.3,0,,,,,,,,,100,,100,
3.03E+13,Dieterich Elem School,Dieterich,,,,,,,,,,,,,,,,,,,,
3.03E+13,,Effingham,22.1,41.6,29.9,6.5,28.6,37.7,29.2,4.5,36.1,42.6,19.7,1.6,41,41,14.8,3.3,100,100,100,100
3.03E+13,Effingham High School,Effingham,21.7,41.4,30.3,6.6,27.6,38.2,29.6,4.6,35,43.3,20,1.7,40,41.7,15,3.3,100,100,100,100
3.03E+13,Effingham Junior High School,Effingham,,,,,,,,,,,,,,,,,,,,
3.03E+13,Central Grade School,Effingham,,,,,,,,,,,,,,,,,,,,
3.03E+13,Early Learning Center,Effingham,,,,,,,,,,,,,,,,,,,,
3.03E+13,South Side Grade School,Effingham,,,,,,,,,,,,,,,,,,,,
3.03E+13,,Teutopolis,10.7,40.5,34.5,14.3,13.1,29.8,51.2,6,,,,,,,,,100,,100,
3.03E+13,Teutopolis High School,Teutopolis,10.7,40.5,34.5,14.3,13.1,29.8,51.2,6,,,,,,,,,100,,100,
3.03E+13,Teutopolis Junior High School,Teutopolis,,,,,,,,,,,,,,,,,,,,
3.03E+13,Teutopolis Grade School,Teutopolis,,,,,,,,,,,,,,,,,,,,
3.03E+13,,Brownstown,42.1,47.4,10.5,0,63.2,31.6,5.3,0,50,40,10,0,40,50,10,0,100,100,100,100
